group,parameters,percent
token_embeddings,544997376,7.1563132826
decoder_layer_00,233057792,3.0602616562
decoder_layer_01,233057792,3.0602616562
decoder_layer_02,233057792,3.0602616562
decoder_layer_03,233057792,3.0602616562
decoder_layer_04,233057792,3.0602616562
decoder_layer_05,233057792,3.0602616562
decoder_layer_06,233057792,3.0602616562
decoder_layer_07,233057792,3.0602616562
decoder_layer_08,233057792,3.0602616562
decoder_layer_09,233057792,3.0602616562
decoder_layer_10,233057792,3.0602616562
decoder_layer_11,233057792,3.0602616562
decoder_layer_12,233057792,3.0602616562
decoder_layer_13,233057792,3.0602616562
decoder_layer_14,233057792,3.0602616562
decoder_layer_15,233057792,3.0602616562
decoder_layer_16,233057792,3.0602616562
decoder_layer_17,233057792,3.0602616562
decoder_layer_18,233057792,3.0602616562
decoder_layer_19,233057792,3.0602616562
decoder_layer_20,233057792,3.0602616562
decoder_layer_21,233057792,3.0602616562
decoder_layer_22,233057792,3.0602616562
decoder_layer_23,233057792,3.0602616562
decoder_layer_24,233057792,3.0602616562
decoder_layer_25,233057792,3.0602616562
decoder_layer_26,233057792,3.0602616562
decoder_layer_27,233057792,3.0602616562
final_norm,3584,0.0000470612
lm_head,544997376,7.1563132826
