component,parameters
token_embeddings,544997376
layer_00,233057792
layer_01,233057792
layer_02,233057792
layer_03,233057792
layer_04,233057792
layer_05,233057792
layer_06,233057792
layer_07,233057792
layer_08,233057792
layer_09,233057792
layer_10,233057792
layer_11,233057792
layer_12,233057792
layer_13,233057792
layer_14,233057792
layer_15,233057792
layer_16,233057792
layer_17,233057792
layer_18,233057792
layer_19,233057792
layer_20,233057792
layer_21,233057792
layer_22,233057792
layer_23,233057792
layer_24,233057792
layer_25,233057792
layer_26,233057792
layer_27,233057792
final_norm,3584
lm_head,544997376
total,7615616512
