case_id,category,text,character_count,utf8_byte_count,token_count,token_ids,token_strings,decoded,roundtrip_equal
pure_chinese,纯中文,今天天气很好，我们正在研究大语言模型的分词机制。,24,72,15,"[100644, 104307, 101243, 3837, 97639, 96555, 99556, 26288, 102064, 104949, 9370, 17177, 99689, 100674, 1773]","[""ä»Ĭå¤©"", ""å¤©æ°Ķ"", ""å¾Īå¥½"", ""ï¼Į"", ""æĪĳä»¬"", ""æŃ£åľ¨"", ""çłĶç©¶"", ""å¤§"", ""è¯Ńè¨Ģ"", ""æ¨¡åŀĭ"", ""çļĦ"", ""åĪĨ"", ""è¯į"", ""æľºåĪ¶"", ""ãĢĤ""]",今天天气很好，我们正在研究大语言模型的分词机制。,True
pure_english,纯英文,Tokenization maps raw text into discrete model input units.,59,59,11,"[3323, 2022, 14043, 7112, 1467, 1119, 43179, 1614, 1946, 8153, 13]","[""Token"", ""ization"", ""Ġmaps"", ""Ġraw"", ""Ġtext"", ""Ġinto"", ""Ġdiscrete"", ""Ġmodel"", ""Ġinput"", ""Ġunits"", "".""]",Tokenization maps raw text into discrete model input units.,True
mixed_language_version,中英文、数字与版本号混合,Qwen2.5-7B-Instruct 在 Python 3.10 与 CUDA 12.1 环境中运行。,52,68,32,"[48, 16948, 17, 13, 20, 12, 22, 33, 31500, 1235, 73562, 13027, 220, 18, 13, 16, 15, 220, 57218, 54809, 220, 16, 17, 13, 16, 10236, 236, 107, 99279, 15946, 104001, 1773]","[""Q"", ""wen"", ""2"", ""."", ""5"", ""-"", ""7"", ""B"", ""-In"", ""struct"", ""Ġåľ¨"", ""ĠPython"", ""Ġ"", ""3"", ""."", ""1"", ""0"", ""Ġ"", ""ä¸İ"", ""ĠCUDA"", ""Ġ"", ""1"", ""2"", ""."", ""1"", ""Ġç"", ""İ"", ""¯"", ""å¢ĥ"", ""ä¸Ń"", ""è¿Ĳè¡Į"", ""ãĢĤ""]",Qwen2.5-7B-Instruct 在 Python 3.10 与 CUDA 12.1 环境中运行。,True
emoji,Emoji 与组合符号,模型表现不错🙂🚀，家庭 emoji：👨‍👩‍👧‍👦，旗帜：🇨🇳🇬🇧。,34,100,27,"[104949, 101107, 100832, 145080, 145836, 3837, 101064, 42365, 5122, 145367, 378, 235, 145233, 378, 235, 145665, 378, 235, 145988, 3837, 110703, 5122, 145793, 145754, 145582, 145340, 1773]","[""æ¨¡åŀĭ"", ""è¡¨çİ°"", ""ä¸įéĶĻ"", ""ðŁĻĤ"", ""ðŁļĢ"", ""ï¼Į"", ""å®¶åºŃ"", ""Ġemoji"", ""ï¼ļ"", ""ðŁĳ¨"", ""âĢ"", ""į"", ""ðŁĳ©"", ""âĢ"", ""į"", ""ðŁĳ§"", ""âĢ"", ""į"", ""ðŁĳ¦"", ""ï¼Į"", ""æĹĹå¸ľ"", ""ï¼ļ"", ""ðŁĩ¨"", ""ðŁĩ³"", ""ðŁĩ¬"", ""ðŁĩ§"", ""ãĢĤ""]",模型表现不错🙂🚀，家庭 emoji：👨‍👩‍👧‍👦，旗帜：🇨🇳🇬🇧。,True
rare_cjk,罕见 CJK 字符,常见字：龙；扩展汉字：𠮷、𩸽、𰻞。,17,54,19,"[101536, 18600, 5122, 99465, 24968, 106375, 114311, 5122, 150152, 5373, 103914, 116, 121, 5373, 172, 108, 119, 252, 1773]","[""å¸¸è§ģ"", ""åŃĹ"", ""ï¼ļ"", ""é¾Ļ"", ""ï¼Ľ"", ""æī©å±ķ"", ""æ±īåŃĹ"", ""ï¼ļ"", ""ðł®·"", ""ãĢģ"", ""ð©"", ""¸"", ""½"", ""ãĢģ"", ""ð"", ""°"", ""»"", ""ŀ"", ""ãĢĤ""]",常见字：龙；扩展汉字：𠮷、𩸽、𰻞。,True
unicode_composition,Unicode 预组合与 combining,预组合 café；组合 café；Å 与 Å。,25,47,12,"[98841, 101220, 51950, 24968, 101220, 51950, 24968, 144044, 220, 57218, 79252, 1773]","[""é¢Ħ"", ""ç»ĦåĲĪ"", ""ĠcafÃ©"", ""ï¼Ľ"", ""ç»ĦåĲĪ"", ""ĠcafÃ©"", ""ï¼Ľ"", ""Ãħ"", ""Ġ"", ""ä¸İ"", ""ĠÃħ"", ""ãĢĤ""]",预组合 café；组合 café；Å 与 Å。,False
fullwidth_halfwidth,全角与半角,半角 ABC123!；全角 ＡＢＣ１２３！；日文 ｶﾀｶﾅ／カタカナ。,35,85,32,"[99369, 63836, 19360, 16, 17, 18, 0, 24968, 35987, 63836, 62823, 94, 139173, 134557, 20109, 24918, 33517, 6313, 24968, 8903, 16744, 220, 144414, 144373, 144414, 144790, 95455, 70393, 46207, 70393, 95352, 1773]","[""åįĬ"", ""è§Ĵ"", ""ĠABC"", ""1"", ""2"", ""3"", ""!"", ""ï¼Ľ"", ""åħ¨"", ""è§Ĵ"", ""Ġï¼"", ""¡"", ""ï¼¢"", ""ï¼£"", ""ï¼ĳ"", ""ï¼Ĵ"", ""ï¼ĵ"", ""ï¼ģ"", ""ï¼Ľ"", ""æĹ¥"", ""æĸĩ"", ""Ġ"", ""ï½¶"", ""ï¾Ģ"", ""ï½¶"", ""ï¾ħ"", ""ï¼ı"", ""ãĤ«"", ""ãĤ¿"", ""ãĤ«"", ""ãĥĬ"", ""ãĢĤ""]",半角 ABC123!；全角 ＡＢＣ１２３！；日文 ｶﾀｶﾅ／カタカナ。,True
whitespace_controls,连续空格、Tab 与换行,"第一列    第二列	第三列
下一行

最后一行",24,56,15,"[99363, 31118, 262, 50331, 40820, 31118, 197, 99749, 31118, 198, 16872, 105643, 271, 102920, 22243]","[""ç¬¬ä¸Ģ"", ""åĪĹ"", ""ĠĠĠ"", ""Ġç¬¬"", ""äºĮ"", ""åĪĹ"", ""ĉ"", ""ç¬¬ä¸ī"", ""åĪĹ"", ""Ċ"", ""ä¸ĭ"", ""ä¸Ģè¡Į"", ""ĊĊ"", ""æľĢåĲİä¸Ģ"", ""è¡Į""]","第一列    第二列	第三列
下一行

最后一行",True
python_code,Python 代码,"def fib(n: int) -> int:
    return n if n < 2 else fib(n-1) + fib(n-2)",70,70,29,"[750, 15801, 1445, 25, 526, 8, 1464, 526, 510, 262, 470, 308, 421, 308, 366, 220, 17, 770, 15801, 1445, 12, 16, 8, 488, 15801, 1445, 12, 17, 8]","[""def"", ""Ġfib"", ""(n"", "":"", ""Ġint"", "")"", ""Ġ->"", ""Ġint"", "":Ċ"", ""ĠĠĠ"", ""Ġreturn"", ""Ġn"", ""Ġif"", ""Ġn"", ""Ġ<"", ""Ġ"", ""2"", ""Ġelse"", ""Ġfib"", ""(n"", ""-"", ""1"", "")"", ""Ġ+"", ""Ġfib"", ""(n"", ""-"", ""2"", "")""]","def fib(n: int) -> int:
    return n if n < 2 else fib(n-1) + fib(n-2)",True
json_url_escape,JSON、URL 与转义符,"{""url"":""https://example.com/a?q=大模型&x=1"",""path"":""C:\\tmp\\a.txt"",""ok"":true}",75,81,30,"[4913, 1085, 3252, 2428, 1110, 8687, 905, 14186, 43782, 28, 26288, 104949, 5, 87, 28, 16, 2198, 2343, 3252, 34, 23817, 5173, 3422, 64, 3909, 2198, 562, 788, 1866, 92]","[""{\"""", ""url"", ""\"":\"""", ""https"", ""://"", ""example"", "".com"", ""/a"", ""?q"", ""="", ""å¤§"", ""æ¨¡åŀĭ"", ""&"", ""x"", ""="", ""1"", ""\"",\"""", ""path"", ""\"":\"""", ""C"", "":\\\\"", ""tmp"", ""\\\\"", ""a"", "".txt"", ""\"",\"""", ""ok"", ""\"":"", ""true"", ""}""]","{""url"":""https://example.com/a?q=大模型&x=1"",""path"":""C:\\tmp\\a.txt"",""ok"":true}",True
latex_math,LaTeX 数学公式,"欧拉公式 $e^{i\pi}+1=0$，积分 $\int_0^1 x^2\,dx=\frac{1}{3}$。",54,70,37,"[99831, 72225, 110322, 400, 68, 47822, 72, 59, 2493, 92, 10, 16, 28, 15, 3, 3837, 106489, 57960, 396, 62, 15, 61, 16, 856, 61, 17, 59, 11, 12719, 34433, 37018, 90, 16, 15170, 18, 31716, 1773]","[""æ¬§"", ""æĭī"", ""åħ¬å¼ı"", ""Ġ$"", ""e"", ""^{"", ""i"", ""\\"", ""pi"", ""}"", ""+"", ""1"", ""="", ""0"", ""$"", ""ï¼Į"", ""ç§¯åĪĨ"", ""Ġ$\\"", ""int"", ""_"", ""0"", ""^"", ""1"", ""Ġx"", ""^"", ""2"", ""\\"", "","", ""dx"", ""=\\"", ""frac"", ""{"", ""1"", ""}{"", ""3"", ""}$"", ""ãĢĤ""]","欧拉公式 $e^{i\pi}+1=0$，积分 $\int_0^1 x^2\,dx=\frac{1}{3}$。",True
literal_special_tokens,字面量特殊令牌,用户输入中原样出现 <|im_start|>system 和 <|im_end|> 以及 <|endoftext|>。,59,85,16,"[20002, 31196, 106594, 90885, 100347, 220, 151644, 8948, 58143, 220, 151645, 220, 101034, 220, 151643, 1773]","[""çĶ¨æĪ·"", ""è¾ĵåħ¥"", ""ä¸ŃåİŁ"", ""æł·"", ""åĩºçİ°"", ""Ġ"", ""<|im_start|>"", ""system"", ""ĠåĴĮ"", ""Ġ"", ""<|im_end|>"", ""Ġ"", ""ä»¥åıĬ"", ""Ġ"", ""<|endoftext|>"", ""ãĢĤ""]",用户输入中原样出现 <|im_start|>system 和 <|im_end|> 以及 <|endoftext|>。,True
repeated_hanzi,单个汉字大量重复,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,128,384,32,"[118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687, 118687]","[""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ"", ""åĵĪåĵĪåĵĪåĵĪ""]",哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,True
zero_width,零宽字符,可见文字A​B‌C‍D﻿结束,14,34,12,"[101479, 87335, 32, 15692, 33, 89364, 34, 378, 235, 35, 3225, 80565]","[""åı¯è§ģ"", ""æĸĩåŃĹ"", ""A"", ""âĢĭ"", ""B"", ""âĢĮ"", ""C"", ""âĢ"", ""į"", ""D"", ""ï»¿"", ""ç»ĵæĿŁ""]",可见文字A​B‌C‍D﻿结束,True
