id,split,source_kind,stratum
sb-completeness-bus-001,train,self_built,self_built:completeness:business
sb-completeness-bus-002,validation,self_built,self_built:completeness:business
sb-completeness-bus-003,train,self_built,self_built:completeness:business
sb-completeness-bus-004,train,self_built,self_built:completeness:business
sb-completeness-bus-005,train,self_built,self_built:completeness:business
sb-completeness-bus-006,train,self_built,self_built:completeness:business
sb-completeness-bus-007,train,self_built,self_built:completeness:business
sb-completeness-bus-008,train,self_built,self_built:completeness:business
sb-completeness-bus-009,train,self_built,self_built:completeness:business
sb-completeness-bus-010,train,self_built,self_built:completeness:business
sb-completeness-bus-011,train,self_built,self_built:completeness:business
sb-completeness-bus-012,train,self_built,self_built:completeness:business
sb-completeness-bus-013,train,self_built,self_built:completeness:business
sb-completeness-bus-014,train,self_built,self_built:completeness:business
sb-completeness-bus-015,train,self_built,self_built:completeness:business
sb-completeness-bus-016,validation,self_built,self_built:completeness:business
sb-completeness-bus-017,train,self_built,self_built:completeness:business
sb-completeness-bus-018,train,self_built,self_built:completeness:business
sb-completeness-bus-019,train,self_built,self_built:completeness:business
sb-completeness-bus-020,train,self_built,self_built:completeness:business
sb-completeness-bus-021,train,self_built,self_built:completeness:business
sb-completeness-gen-001,train,self_built,self_built:completeness:general
sb-completeness-gen-002,train,self_built,self_built:completeness:general
sb-completeness-gen-003,train,self_built,self_built:completeness:general
sb-completeness-gen-004,train,self_built,self_built:completeness:general
sb-completeness-gen-005,train,self_built,self_built:completeness:general
sb-completeness-gen-006,train,self_built,self_built:completeness:general
sb-completeness-gen-007,train,self_built,self_built:completeness:general
sb-completeness-gen-008,train,self_built,self_built:completeness:general
sb-completeness-gen-009,train,self_built,self_built:completeness:general
sb-completeness-gen-010,train,self_built,self_built:completeness:general
sb-completeness-gen-011,train,self_built,self_built:completeness:general
sb-completeness-gen-012,train,self_built,self_built:completeness:general
sb-completeness-gen-013,train,self_built,self_built:completeness:general
sb-completeness-gen-014,train,self_built,self_built:completeness:general
sb-completeness-gen-015,train,self_built,self_built:completeness:general
sb-completeness-gen-016,validation,self_built,self_built:completeness:general
sb-completeness-gen-017,validation,self_built,self_built:completeness:general
sb-completeness-gen-018,train,self_built,self_built:completeness:general
sb-completeness-gen-019,train,self_built,self_built:completeness:general
sb-completeness-gen-020,train,self_built,self_built:completeness:general
sb-completeness-gen-021,train,self_built,self_built:completeness:general
sb-factuality-bus-001,train,self_built,self_built:factuality:business
sb-factuality-bus-002,train,self_built,self_built:factuality:business
sb-factuality-bus-003,train,self_built,self_built:factuality:business
sb-factuality-bus-004,train,self_built,self_built:factuality:business
sb-factuality-bus-005,validation,self_built,self_built:factuality:business
sb-factuality-bus-006,train,self_built,self_built:factuality:business
sb-factuality-bus-007,train,self_built,self_built:factuality:business
sb-factuality-bus-008,train,self_built,self_built:factuality:business
sb-factuality-bus-009,train,self_built,self_built:factuality:business
sb-factuality-bus-010,train,self_built,self_built:factuality:business
sb-factuality-bus-011,train,self_built,self_built:factuality:business
sb-factuality-bus-012,train,self_built,self_built:factuality:business
