step,epoch,loss,rewards/chosen,rewards/rejected,rewards/margins,rewards/accuracies,logps/chosen,logps/rejected,learning_rate,grad_norm,rewards/chosen_ma,rewards/rejected_ma,rewards/margins_ma
1,0.012519561815336464,0.6931,0.0,0.0,0.0,0.0,-234.6810302734375,-286.59112548828125,0.0,6.437314987182617,0.0,0.0,0.0
2,0.025039123630672927,0.6931,0.0,0.0,0.0,0.0,-280.53399658203125,-124.16181182861328,2.0833333333333333e-07,6.527106285095215,0.0,0.0,0.0
3,0.03755868544600939,0.7056,0.011827660724520683,0.034422364085912704,-0.02259470522403717,0.375,-270.67529296875,-235.93051147460938,4.1666666666666667e-07,7.437721252441406,0.003942553574840228,0.011474121361970901,-0.00753156840801239
4,0.050078247261345854,0.7234,-0.024900348857045174,0.03263787180185318,-0.0575382225215435,0.25,-198.2967529296875,-176.32247924804688,6.25e-07,5.999650478363037,-0.0032681720331311226,0.01676505897194147,-0.02003323193639517
5,0.06259780907668232,0.6878,-0.008734369650483131,-0.02062387578189373,0.011889506131410599,0.5,-248.14236450195312,-210.08119201660156,8.333333333333333e-07,6.148595809936523,-0.004361411556601524,0.009287272021174431,-0.013648684322834014
6,0.07511737089201878,0.712,-0.011286593973636627,0.025559330359101295,-0.03684592247009277,0.25,-271.413818359375,-119.08464813232422,1.0416666666666667e-06,6.4738287925720215,-0.005515608626107375,0.011999281744162241,-0.017514890680710476
7,0.08763693270735524,0.6823,0.01950106769800186,-0.0035173422656953335,0.023018408566713333,0.625,-221.0686492919922,-189.4933319091797,1.25e-06,5.8382039070129395,-0.0019417977226631983,0.009782621171325445,-0.011724419359649931
8,0.10015649452269171,0.7331,-0.03855147212743759,0.03801574930548668,-0.07656721770763397,0.25,-264.6214904785156,-235.23582458496094,1.4583333333333335e-06,7.012796878814697,-0.006518007023259997,0.0133117621880956,-0.019829769153147936
9,0.11267605633802817,0.7187,-0.03410514444112778,0.012350846081972122,-0.0464559905230999,0.25,-444.23333740234375,-303.55255126953125,1.6666666666666667e-06,7.698666572570801,-0.009583244514134195,0.013204993731859658,-0.02278823819425371
10,0.12519561815336464,0.6933,0.03188285976648331,0.029944896697998047,0.0019379612058401108,0.5,-231.5581817626953,-234.2629852294922,1.8750000000000003e-06,7.7809648513793945,-0.005436634086072445,0.014878984028473496,-0.020315618254244328
