step,epoch,loss,rewards/chosen,rewards/rejected,rewards/margins,rewards/accuracies,logps/chosen,logps/rejected,learning_rate,grad_norm,rewards/chosen_ma,rewards/rejected_ma,rewards/margins_ma
1,0.010217113665389528,0.6931,0.0,0.0,0.0,0.0,-234.68368530273438,-181.952880859375,6.89655172413793e-08,6.72093391418457,0.0,0.0,0.0
2,0.020434227330779056,0.6931,0.0,0.0,0.0,0.0,-354.7425537109375,-220.68411254882812,1.379310344827586e-07,6.7546706199646,0.0,0.0,0.0
3,0.03065134099616858,0.6973,-0.005585098639130592,0.002296304330229759,-0.007881403900682926,0.625,-246.92494201660156,-125.18406677246094,2.0689655172413793e-07,6.484799861907959,-0.0018616995463768642,0.0007654347767432531,-0.0026271346335609755
4,0.04086845466155811,0.6827,0.03257637098431587,0.010158729739487171,0.022417640313506126,0.5,-324.9390869140625,-89.48966979980469,2.758620689655172e-07,5.931182861328125,0.00674781808629632,0.0031137585174292326,0.0036340591032058
5,0.05108556832694764,0.7253,-0.02052154392004013,0.04182925075292587,-0.0623508021235466,0.125,-293.99285888671875,-181.07635498046875,3.4482758620689656e-07,6.920321941375732,0.00129394568502903,0.010856856964528561,-0.00956291314214468
6,0.06130268199233716,0.7123,-0.015613937750458717,0.02116689644753933,-0.03678083419799805,0.375,-521.578857421875,-323.4231872558594,4.1379310344827586e-07,9.088229179382324,-0.0015240348875522614,0.01257519687836369,-0.014099233318120241
7,0.07151979565772669,0.6884,0.005138135515153408,-0.005080033093690872,0.010218167677521706,0.375,-161.88766479492188,-248.26498413085938,4.827586206896552e-07,6.819831371307373,-0.0005722962585943085,0.01005302116807018,-0.010625318890171391
8,0.08173690932311622,0.694,-0.005998039618134499,-0.004473233595490456,-0.0015248057898133993,0.625,-291.91510009765625,-97.07596588134766,5.517241379310344e-07,5.088776588439941,-0.0012505141785368323,0.0082372393226251,-0.009487754752626643
9,0.09195402298850575,0.6949,0.0038356799632310867,0.005975902080535889,-0.002140222117304802,0.5,-347.9385986328125,-177.07760620117188,6.206896551724138e-07,7.094335556030273,-0.0006853814961181746,0.007985979629059633,-0.008671362237590883
10,0.10217113665389528,0.7172,-0.036536216735839844,0.008899496868252754,-0.04543571174144745,0.375,-359.854736328125,-165.9676513671875,6.896551724137931e-07,7.309721946716309,-0.004270465020090342,0.008077331352978945,-0.01234779718797654
11,0.1123882503192848,0.6742,0.023697473108768463,-0.01587367057800293,0.03957114368677139,0.75,-397.6221008300781,-238.53115844726562,7.586206896551724e-07,7.0850830078125,-0.0017279251901940866,0.005899967541071502,-0.0076278934720903635
12,0.12260536398467432,0.7125,0.0010755546391010284,0.032529257237911224,-0.031453702598810196,0.5,-381.63348388671875,-251.44151306152344,8.275862068965517e-07,7.228180885314941,-0.0014943018710861604,0.008119075015808145,-0.009613377565983683
13,0.13282247765006386,0.6876,-9.307835716754198e-05,-0.01424424722790718,0.01415116898715496,0.625,-434.09222412109375,-212.39207458496094,8.96551724137931e-07,6.659418106079102,-0.0013865154469385743,0.006398819458599274,-0.007785335523434556
14,0.14303959131545338,0.7115,0.01153576374053955,0.04603151977062225,-0.0344957560300827,0.25,-293.1296691894531,-262.8487548828125,9.655172413793103e-07,7.586688041687012,-0.0004634955049758511,0.009229726623743773,-0.009693222702480853
15,0.1532567049808429,0.6814,0.0372508279979229,0.011282920837402344,0.025967910885810852,0.625,-375.6364440917969,-183.87477111816406,1.0344827586206896e-06,6.518434047698975,0.002050792728550732,0.009366606237987678,-0.007315813796594739
