author,canonical_download_url,category,download_url,expected_file_bytes,expected_sha256,file_bytes,height,image_format,image_id,image_relative_path,legacy_image_relative_path,license,license_url,mime_type,provenance_role,repository,sha256,source_page_url,source_path,source_revision,source_revision_kind,split,width
Our World in Data / Global Change Data Lab,,chart_table,https://ourworldindata.org/grapher/life-expectancy-vs-health-expenditure.png,,,77018,600,PNG,chart_table-v7-dev-01,images_v7/dev/chart_table-v7-dev-01.png,,CC-BY-4.0,https://ourworldindata.org/faqs#can-i-reuse-or-republish-your-charts,image/png,new_v7_heldout_bytes,our-world-in-data-grapher,9e5ea0df0d658382c6fcc7605a3bfe19e982cd89f9b0cebb21d84532b5f1951c,https://ourworldindata.org/grapher/life-expectancy-vs-health-expenditure,life-expectancy-vs-health-expenditure,2026-08-21,retrieval_date,dev,850
Our World in Data / Global Change Data Lab,,chart_table,https://ourworldindata.org/grapher/co-emissions-per-capita.png,,,83406,600,PNG,chart_table-v7-dev-02,images_v7/dev/chart_table-v7-dev-02.png,,CC-BY-4.0,https://ourworldindata.org/faqs#can-i-reuse-or-republish-your-charts,image/png,new_v7_heldout_bytes,our-world-in-data-grapher,b536b762301314f02087cd6fc42696cafd66a2c0d3a5de12cdcfa957f024fa73,https://ourworldindata.org/grapher/co-emissions-per-capita,co-emissions-per-capita,2026-08-21,retrieval_date,dev,850
PaddleOCR contributors,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/doc_with_formula.png,formula,https://cdn.jsdelivr.net/gh/PaddlePaddle/PaddleOCR@2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/doc_with_formula.png,,,493450,1056,PNG,formula-v7-dev-01,images_v7/dev/formula-v7-dev-01.png,,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/png,new_v7_heldout_bytes,paddleocr,6b07d28527dc9e930804fa73df562f1a81599c6b8a1a8bbc2a80742fa9f26e80,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/doc_with_formula.png,tests/test_files/doc_with_formula.png,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,dev,816
BreezeDeus and Pix2Text contributors,https://raw.githubusercontent.com/breezedeus/Pix2Text/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/mixed.jpg,formula,https://cdn.jsdelivr.net/gh/breezedeus/Pix2Text@f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/mixed.jpg,,,82176,310,JPEG,formula-v7-dev-02,images_v7/dev/formula-v7-dev-02.jpg,,MIT,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/LICENSE,image/jpeg,new_v7_heldout_bytes,pix2text,95bebef9d42664677b061f8dbea91c68c14c4bd5334cb451287883a32793283e,https://github.com/breezedeus/Pix2Text/blob/f881e9df93d1ee6e90e823a66776ae0bb501f810/docs/examples/mixed.jpg,docs/examples/mixed.jpg,f881e9df93d1ee6e90e823a66776ae0bb501f810,git_commit,dev,1544
Bonnie Moreland,,natural_scene,https://commons.wikimedia.org/wiki/Special:Redirect/file/Lake%20Mountain%20Landscape.jpg?width=1280,,,194576,853,JPEG,natural_scene-v7-dev-03,images_v7/dev/natural_scene-v7-dev-03.jpg,,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,image/jpeg,new_v7_heldout_bytes,wikimedia-commons,dbe83e658703e8eeb9d16367ad4676d11f3e038b1ff6d42d1e4552f17c5caf3c,https://commons.wikimedia.org/wiki/File:Lake%20Mountain%20Landscape.jpg,Lake Mountain Landscape.jpg,2026-08-21,retrieval_date,dev,1280
Vtx,,natural_scene,https://commons.wikimedia.org/wiki/Special:Redirect/file/Forest%20Path%20%28179749337%29.jpeg?width=960,,,552016,1440,JPEG,natural_scene-v7-dev-04,images_v7/dev/natural_scene-v7-dev-04.jpeg,,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,image/jpeg,new_v7_heldout_bytes,wikimedia-commons,fcdbe3430333dd2da8ee0a182e8fa8ccc817aa2b89c328e65b15577c297dfa2d,https://commons.wikimedia.org/wiki/File:Forest%20Path%20%28179749337%29.jpeg,Forest Path (179749337).jpeg,2026-08-21,retrieval_date,dev,960
PaddleOCR contributors,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/book.jpg,ocr,https://cdn.jsdelivr.net/gh/PaddlePaddle/PaddleOCR@2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/book.jpg,,,256618,708,JPEG,ocr-v7-dev-01,images_v7/dev/ocr-v7-dev-01.jpg,,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/jpeg,new_v7_heldout_bytes,paddleocr,782cc71a2730020ea8da815de3e40a964b7f150c183d1f8c01dd211de9dcbcc4,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/book.jpg,tests/test_files/book.jpg,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,dev,1100
PaddleOCR contributors,https://raw.githubusercontent.com/PaddlePaddle/PaddleOCR/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/seal.png,ocr,https://cdn.jsdelivr.net/gh/PaddlePaddle/PaddleOCR@2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/seal.png,,,184275,640,PNG,ocr-v7-dev-02,images_v7/dev/ocr-v7-dev-02.png,,Apache-2.0,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/LICENSE,image/png,new_v7_heldout_bytes,paddleocr,be29cb91999450742958c62ead08f93825b92e5fa4290c063cc7991259da6c24,https://github.com/PaddlePaddle/PaddleOCR/blob/2661c7c0ef5c613e8f93c6e93b2e052399f0f854/tests/test_files/seal.png,tests/test_files/seal.png,2661c7c0ef5c613e8f93c6e93b2e052399f0f854,git_commit,dev,640
Microsoft and Windows documentation contributors,https://raw.githubusercontent.com/MicrosoftDocs/windows-dev-docs/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/advanced-paste/advanced-paste.png,ui,https://cdn.jsdelivr.net/gh/MicrosoftDocs/windows-dev-docs@9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/advanced-paste/advanced-paste.png,,,45471,266,PNG,ui-v7-dev-01,images_v7/dev/ui-v7-dev-01.png,,CC-BY-4.0,https://github.com/MicrosoftDocs/windows-dev-docs/blob/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/LICENSE,image/png,new_v7_heldout_bytes,windows-dev-docs,2959886d25be1d6f707de4f1b3b54618ff4225b13ebb8419f79737606eba81fc,https://github.com/MicrosoftDocs/windows-dev-docs/blob/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/advanced-paste/advanced-paste.png,hub/powertoys/images/advanced-paste/advanced-paste.png,9a712a52ab5ccb1fbe24e97e582a9f884388a3cc,git_commit,dev,400
Microsoft and Windows documentation contributors,https://raw.githubusercontent.com/MicrosoftDocs/windows-dev-docs/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/fancyzones/fancy-zones.png,ui,https://cdn.jsdelivr.net/gh/MicrosoftDocs/windows-dev-docs@9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/fancyzones/fancy-zones.png,,,23230,266,PNG,ui-v7-dev-02,images_v7/dev/ui-v7-dev-02.png,,CC-BY-4.0,https://github.com/MicrosoftDocs/windows-dev-docs/blob/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/LICENSE,image/png,new_v7_heldout_bytes,windows-dev-docs,4985ae0f3f611f21e1afb0799774889d5e65568970301f0847642b09d565f5dc,https://github.com/MicrosoftDocs/windows-dev-docs/blob/9a712a52ab5ccb1fbe24e97e582a9f884388a3cc/hub/powertoys/images/fancyzones/fancy-zones.png,hub/powertoys/images/fancyzones/fancy-zones.png,9a712a52ab5ccb1fbe24e97e582a9f884388a3cc,git_commit,dev,400
