dataset,version,metric,mode,week8-bound-model
ceval-computer_network,3ca950,accuracy,gen,26.32
ceval-operating_system,9cc183,accuracy,gen,52.63
ceval-computer_architecture,b06b51,accuracy,gen,33.33
ceval-college_programming,2d37f8,accuracy,gen,51.35
ceval-college_physics,fab095,accuracy,gen,47.37
ceval-college_chemistry,0a1175,accuracy,gen,45.83
ceval-advanced_mathematics,9ec2a0,accuracy,gen,36.84
ceval-probability_and_statistics,316ceb,accuracy,gen,38.89
ceval-discrete_mathematics,4b43b1,accuracy,gen,37.50
ceval-electrical_engineer,a077f4,accuracy,gen,37.84
ceval-metrology_engineer,169df2,accuracy,gen,62.50
ceval-high_school_mathematics,c78c4c,accuracy,gen,33.33
ceval-high_school_physics,c1864b,accuracy,gen,63.16
ceval-high_school_chemistry,bab9b6,accuracy,gen,47.37
ceval-high_school_biology,d51f0f,accuracy,gen,42.11
ceval-middle_school_mathematics,912110,accuracy,gen,31.58
ceval-middle_school_biology,0d5293,accuracy,gen,80.95
ceval-middle_school_physics,b3dc34,accuracy,gen,47.37
ceval-middle_school_chemistry,a444c1,accuracy,gen,85.00
ceval-veterinary_medicine,c2ad8c,accuracy,gen,47.83
ceval-college_economics,bccb3f,accuracy,gen,34.55
ceval-business_administration,d0e662,accuracy,gen,54.55
ceval-marxism,1999c8,accuracy,gen,78.95
ceval-mao_zedong_thought,2f502f,accuracy,gen,95.83
ceval-education_science,b8df44,accuracy,gen,62.07
ceval-teacher_qualification,7a8a3f,accuracy,gen,72.73
ceval-high_school_politics,7fe902,accuracy,gen,84.21
ceval-high_school_geography,50a3b1,accuracy,gen,52.63
ceval-middle_school_politics,3d3b2d,accuracy,gen,76.19
ceval-middle_school_geography,571a34,accuracy,gen,83.33
ceval-modern_chinese_history,8977b9,accuracy,gen,82.61
ceval-ideological_and_moral_cultivation,0b5835,accuracy,gen,78.95
ceval-logic,0a9c44,accuracy,gen,45.45
ceval-law,954bae,accuracy,gen,25.00
ceval-chinese_language_and_literature,964dd8,accuracy,gen,39.13
ceval-art_studies,8ce5e6,accuracy,gen,54.55
ceval-professional_tour_guide,2e789b,accuracy,gen,65.52
ceval-legal_professional,ac1a4a,accuracy,gen,34.78
ceval-high_school_chinese,f433fc,accuracy,gen,36.84
ceval-high_school_history,a01043,accuracy,gen,80.00
ceval-middle_school_history,f5d227,accuracy,gen,72.73
ceval-civil_servant,d95065,accuracy,gen,42.55
ceval-sports_science,2abd10,accuracy,gen,52.63
ceval-plant_protection,04c7b8,accuracy,gen,50.00
ceval-basic_medicine,4e8300,accuracy,gen,57.89
ceval-clinical_medicine,f915ca,accuracy,gen,50.00
ceval-urban_and_rural_planner,2fff81,accuracy,gen,69.57
ceval-accountant,a1e403,accuracy,gen,38.78
ceval-fire_engineer,b0839f,accuracy,gen,48.39
ceval-environmental_impact_assessment_engineer,52bd17,accuracy,gen,48.39
ceval-tax_accountant,c6dfc8,accuracy,gen,48.98
ceval-physician,01a1df,accuracy,gen,61.22
