subject,questions,before_correct,after_correct,delta_correct
ceval-accountant,49,19,19,0
ceval-advanced_mathematics,19,7,7,0
ceval-art_studies,33,18,17,-1
ceval-basic_medicine,19,11,11,0
ceval-business_administration,33,18,18,0
ceval-chinese_language_and_literature,23,9,7,-2
ceval-civil_servant,47,20,19,-1
ceval-clinical_medicine,22,11,11,0
ceval-college_chemistry,24,11,11,0
ceval-college_economics,55,19,19,0
ceval-college_physics,19,9,8,-1
ceval-college_programming,37,19,20,1
ceval-computer_architecture,21,7,8,1
ceval-computer_network,19,5,5,0
ceval-discrete_mathematics,16,6,6,0
ceval-education_science,29,18,18,0
ceval-electrical_engineer,37,14,13,-1
ceval-environmental_impact_assessment_engineer,31,15,15,0
ceval-fire_engineer,31,15,16,1
ceval-high_school_biology,19,8,8,0
ceval-high_school_chemistry,19,9,7,-2
ceval-high_school_chinese,19,7,7,0
ceval-high_school_geography,19,10,10,0
ceval-high_school_history,20,16,16,0
ceval-high_school_mathematics,18,6,6,0
ceval-high_school_physics,19,12,12,0
ceval-high_school_politics,19,16,16,0
ceval-ideological_and_moral_cultivation,19,15,15,0
ceval-law,24,6,6,0
ceval-legal_professional,23,8,8,0
ceval-logic,22,10,11,1
ceval-mao_zedong_thought,24,23,23,0
ceval-marxism,19,15,15,0
ceval-metrology_engineer,24,15,15,0
ceval-middle_school_biology,21,17,15,-2
ceval-middle_school_chemistry,20,17,18,1
ceval-middle_school_geography,12,10,10,0
ceval-middle_school_history,22,16,16,0
ceval-middle_school_mathematics,19,6,6,0
ceval-middle_school_physics,19,9,9,0
ceval-middle_school_politics,21,16,16,0
ceval-modern_chinese_history,23,19,19,0
ceval-operating_system,19,10,10,0
ceval-physician,49,30,30,0
ceval-plant_protection,22,11,10,-1
ceval-probability_and_statistics,18,7,7,0
ceval-professional_tour_guide,29,19,19,0
ceval-sports_science,19,10,10,0
ceval-tax_accountant,49,24,24,0
ceval-teacher_qualification,44,32,32,0
ceval-urban_and_rural_planner,46,32,31,-1
ceval-veterinary_medicine,23,11,10,-1
